cohort,landmark_hour,n_rows,n_stays,events,auroc,auprc,brier,calibration_intercept,calibration_slope,mean_predicted_risk,observed_event_rate
MIMIC-III external with CRRT,24,1875,1875,807,0.7362555634453217,0.6846994449514208,0.2056883268666402,-0.20995407085519852,0.798703001292313,0.4663478003818667,0.4304
MIMIC-III external with CRRT,48,1274,1274,548,0.7808710864450744,0.7123383977486182,0.18874231018908236,-0.23228527854639278,0.9435189976004947,0.47252166753846153,0.4301412872841444
MIMIC-III external with CRRT,72,913,913,407,0.7837497936312166,0.7258848024379981,0.19140891858872822,-0.2765261288118016,0.9021588047314424,0.49701790740525736,0.4457831325301205
MIMIC-IV internal test,24,675,675,321,0.7832954925462449,0.7893789619887261,0.18487581284854768,0.06779417659949188,1.0282890199965475,0.4640778271357218,0.47555555555555556
MIMIC-IV internal test,48,427,427,196,0.7406131283682305,0.694211642948827,0.20839586651316697,0.06291029041990263,0.7966241714871717,0.43409725990521547,0.45901639344262296
MIMIC-IV internal test,72,291,291,135,0.7685660018993352,0.7674802085252539,0.19199223130499943,0.16063230668163092,0.9860210812960754,0.4327572890368524,0.4639175257731959
SICdb sensitivity external,24,301,301,71,0.6515003061849356,0.34014777901437154,0.3251352609326134,-1.5436614499188477,0.5423357088937754,0.6095258386378738,0.23588039867109634
SICdb sensitivity external,48,217,217,29,0.5752017608217168,0.18806467806831215,0.35150996961813985,-2.008932022921029,0.26333211796569655,0.5835331195852534,0.1336405529953917
SICdb sensitivity external,72,167,167,28,0.4455292908530319,0.154525967063817,0.4122598115061844,-1.5121924753526366,-0.1431671554481259,0.6333187390419162,0.16766467065868262
